,trigrams,frequence
0,très bon site,725
1,beaucoup de choix,524
2,jamais eu de,514
3,je nai jamais,511
4,toujours au top,484
5,rapport qualité prix,459
6,rapide et efficace,456
7,je suis très,448
8,de mes achats,404
9,depuis des années,389
10,que je commande,343
11,tres bon site,332
12,ce que je,328
13,de mes commandes,326
14,satisfaite de mes,317
15,et livraison rapide,313
16,bon rapport qualité,306
17,très satisfaite de,280
18,livraison rapide et,272
19,toujours satisfaite de,271
20,satisfaite de cdiscount,260
21,tout est parfait,258
22,en cas de,253
23,délais de livraison,244
24,nai jamais été,237
