,unigrams,Promoteurs,Passifs,Detracteur
0,très,8040.0,1693.0,1387.0
1,être,7737.0,3086.0,10621.0
2,toujours,7119.0,1253.0,1398.0
3,rapide,6251.0,1376.0,0.0
4,avoir,6170.0,2395.0,8965.0
5,site,5894.0,1797.0,2538.0
6,satisfait,5572.0,1425.0,0.0
7,livraison,5566.0,2009.0,2240.0
8,cdiscount,5549.0,1449.0,5177.0
9,bien,4959.0,2354.0,1727.0
10,commande,4444.0,1538.0,3635.0
11,prix,4332.0,1291.0,0.0
12,produit,3773.0,1511.0,2145.0
13,tout,3571.0,801.0,1932.0
14,merci,3099.0,624.0,0.0
15,jamais,3020.0,519.0,0.0
16,parfait,2904.0,0.0,0.0
17,choix,2660.0,764.0,0.0
18,rien,2467.0,691.0,0.0
19,service,2453.0,745.0,2566.0
20,super,2341.0,0.0,0.0
21,depuis,2339.0,0.0,0.0
22,client,2234.0,577.0,2806.0
23,recommande,2057.0,0.0,0.0
24,problème,1775.0,556.0,0.0
25,plus,0.0,694.0,3475.0
26,faire,0.0,664.0,4101.0
27,cest,0.0,643.0,2309.0
28,article,0.0,479.0,0.0
29,dire,0.0,0.0,1926.0
30,pouvoir,0.0,0.0,1714.0
31,fois,0.0,0.0,1696.0
32,recevoir,0.0,0.0,1690.0
33,cela,0.0,0.0,1570.0
34,chez,0.0,0.0,1504.0
35,commander,0.0,0.0,1493.0
36,sans,0.0,0.0,1390.0
37,jour,0.0,0.0,1388.0
