,trigrams,frequence
0,pour le moment,152
1,très bon site,148
2,beaucoup de choix,140
3,rapport qualité prix,113
4,de mes achats,110
5,jamais eu de,107
6,je suis satisfait,106
7,délais de livraison,106
8,ne sont pas,105
9,je suis satisfaite,103
10,je nai jamais,94
11,bon rapport qualité,94
12,pas de soucis,88
13,rapide et efficace,87
14,sur le site,81
15,pas de problème,77
16,tres bon site,77
17,de mes commandes,77
18,je nai pas,76
19,ce que je,76
20,les frais de,75
21,satisfaite de mes,74
22,frais de livraison,73
23,de la livraison,71
24,satisfait de cdiscount,68
